favorite_count,full_text,lang,quote_count,reply_count,retweet_count,username,remove_user,cleaning,tokenized_Content
68,can jinx get a happy ending that s not tied to ekko and can sevika not die that s all i m shooting for please,en,2.0,0.0,20.0,razorsp1kes,can jinx get a happy ending that s not tied to ekko and can sevika not die that s all i m shooting for please,can jinx get a happy ending that s not tied to ekko and can sevika not die that s all i m shooting for please,"['""can""', '""jinx""', '""get""', '""a""', '""happy""', '""ending""', '""that""', '""s""', '""not""', '""tied""', '""to""', '""ekko""', '""and""', '""can""', '""sevika""', '""not""', '""die""', '""that""', '""s""', '""all""', '""i""', '""m""', '""shooting""', '""for""', '""please""']"
27,that arcane jinx sombra concept is sooooo well done but it wouldn't make sense idk idk,en,0.0,5.0,1.0,hisprettycrow,that arcane jinx sombra concept is sooooo well done but it wouldn't make sense idk idk,that arcane jinx sombra concept is sooooo well done but it wouldn t make sense idk idk,"['""that""', '""arcane""', '""jinx""', '""sombra""', '""concept""', '""is""', '""sooooo""', '""well""', '""done""', '""but""', '""it""', '""would""', '""n\'t""', '""make""', '""sense""', '""idk""', '""idk""']"
39,guys power tweet na kayo i have a good feeling sumthing good will happen today. wag sana ma jinx eme. Ahahahah keep the tweets coming!!! JARRENSOFIA BIDA KAPAMILYA,en,0.0,1.0,23.0,_jarfiaaa,guys power tweet na kayo i have a good feeling sumthing good will happen today. wag sana ma jinx eme. Ahahahah keep the tweets coming!!! JARRENSOFIA BIDA KAPAMILYA,guys power tweet na kayo i have a good feeling sumthing good will happen today wag sana ma jinx eme Ahahahah keep the tweets coming JARRENSOFIA BIDA KAPAMILYA,"['""guys""', '""power""', '""tweet""', '""na""', '""kayo""', '""i""', '""have""', '""a""', '""good""', '""feeling""', '""sumthing""', '""good""', '""will""', '""happen""', '""today""', '"".""', '""wag""', '""sana""', '""ma""', '""jinx""', '""eme""', '"".""', '""Ahahahah""', '""keep""', '""the""', '""tweets""', '""coming""', '""!""', '""!""', '""!""', '""JARRENSOFIA""', '""BIDA""', '""KAPAMILYA""']"
746,If maddie is alive and single by the finale I ll take it as canon MadJinx,en,2.0,14.0,41.0,jinxphobia,If maddie is alive and single by the finale I ll take it as canon MadJinx,If maddie is alive and single by the finale I ll take it as canon MadJinx,"['""If""', '""maddie""', '""is""', '""alive""', '""and""', '""single""', '""by""', '""the""', '""finale""', '""I""', '""ll""', '""take""', '""it""', '""as""', '""canon""', '""MadJinx""']"
186,jinx is about to have the most valid crashout of the century in act 3,en,0.0,2.0,26.0,starrfrie,jinx is about to have the most valid crashout of the century in act 3,jinx is about to have the most valid crashout of the century in act ,"['""jinx""', '""is""', '""about""', '""to""', '""have""', '""the""', '""most""', '""valid""', '""crashout""', '""of""', '""the""', '""century""', '""in""', '""act""', '""3""']"
5,I am forever a Jinx sympathizer and I will stand on that TEN TOES DOWN,en,0.0,2.0,0.0,mizzdegenerate,I am forever a Jinx sympathizer and I will stand on that TEN TOES DOWN,I am forever a Jinx sympathizer and I will stand on that TEN TOES DOWN,"['""I""', '""am""', '""forever""', '""a""', '""Jinx""', '""sympathizer""', '""and""', '""I""', '""will""', '""stand""', '""on""', '""that""', '""TEN""', '""TOES""', '""DOWN""']"
28,CLEAR THE SEARCHES isha alive isha happy isha and jinx bffs isha healthy isha happy family vander vi jinx isha okay,en,0.0,0.0,9.0,riflecait,CLEAR THE SEARCHES isha alive isha happy isha and jinx bffs isha healthy isha happy family vander vi jinx isha okay,CLEAR THE SEARCHES isha alive isha happy isha and jinx bffs isha healthy isha happy family vander vi jinx isha okay,"['""CLEAR""', '""THE""', '""SEARCHES""', '""isha""', '""alive""', '""isha""', '""happy""', '""isha""', '""and""', '""jinx""', '""bffs""', '""isha""', '""healthy""', '""isha""', '""happy""', '""family""', '""vander""', '""vi""', '""jinx""', '""isha""', '""okay""']"
27,I just rewatched Ekko and Jinx bridge part and I genuinely think that's the best scene I've ever seen in anything ever,en,0.0,2.0,3.0,runmien,I just rewatched Ekko and Jinx bridge part and I genuinely think that's the best scene I've ever seen in anything ever,I just rewatched Ekko and Jinx bridge part and I genuinely think that s the best scene I ve ever seen in anything ever,"['""I""', '""just""', '""rewatched""', '""Ekko""', '""and""', '""Jinx""', '""bridge""', '""part""', '""and""', '""I""', '""genuinely""', '""think""', '""that""', '""\'s""', '""the""', '""best""', '""scene""', '""I""', '""\'ve""', '""ever""', '""seen""', '""in""', '""anything""', '""ever""']"
9,Jinx they could never make me hate you,en,0.0,2.0,1.0,maufromnowhere,Jinx they could never make me hate you,Jinx they could never make me hate you,"['""Jinx""', '""they""', '""could""', '""never""', '""make""', '""me""', '""hate""', '""you""']"
615,I used to read her bedtime stories,en,2.0,11.0,27.0,jinxphobia,I used to read her bedtime stories,I used to read her bedtime stories,"['""I""', '""used""', '""to""', '""read""', '""her""', '""bedtime""', '""stories""']"
102,if jinx dies ill blame it on zack fair,en,5.0,11.0,21.0,dayosrei,if jinx dies ill blame it on zack fair,if jinx dies ill blame it on zack fair,"['""if""', '""jinx""', '""dies""', '""ill""', '""blame""', '""it""', '""on""', '""zack""', '""fair""']"
73,Jinx and Jhin are building Crit 1st item the world is healing,en,0.0,3.0,1.0,zac_gaming__,Jinx and Jhin are building Crit 1st item the world is healing,Jinx and Jhin are building Crit st item the world is healing,"['""Jinx""', '""and""', '""Jhin""', '""are""', '""building""', '""Crit""', '""1st""', '""item""', '""the""', '""world""', '""is""', '""healing""']"
